Зeмeльный фoнд; земфонд
Как писал Марк Твен, среди развалин одного из древнейших этрусских городов нашли кувшинчик и определили, что он с гробницы. Внимание, вопрос: этот кувшинчик предназначался для?; слез
Как по-английски называется можжевеловая водка?; джин
Как по-другому называется упас-дерево; анчар
Как по-французски будет “призрак”; фантом
Как правило, он сам пишет сценарий, сам режиссирует и сам снимается в главной роли практически каждого своего фильма (Голливуд.); Аллен
Как правило, трезвые помощники в русской национальной охоте; егеря
Как прежде называли оптового скупщика скота и разных припасов; прасол
Как прежде называлось государство Мьянма; Бирма
Как прилагательное, это слово описывает состояние пешки. Как существительное – это непременный атрибут советского учреждения. Назовите это слово; проходная
Как произнесли бы имя Александра Македонского арабы?; Искандер
Как раньше называли алтайцев; ойроты
Как расшифровывается абривеатура – НЛО?; неопознанный летающий объект
Как русские цари именовали свои спальни?; покои
Как сейчас называют тех, кого раньше называли американцами, а еще раньше – натуралами?; индейцы
Как сейчас называются горы, чьим старинным названием было Каменный пояс?; Урал
Как следовало бы называть созвездие Овен, избегая архаической высокопарности?; баран
Как стал называться после 1940 года город Остяко-Вогульск?; Ханты-Мансийск
Как стали называть выпускавшиеся на протяжении нескольких десятилетий в 18 веке рублевые монеты с косыми насечками на ребре?; карбованцы
Как у древних греков назывались философы, занимающиеся изучением природы?; физики
Как у древних римлян называлась сотня солдат?; центурия
Как у жителей Полинезии называлась система правил поведения?; табу
Как у нашей сватьи вкусные; оладьи
Как царица Савская именовалась у мусульман; Билкис
Как, любя, называют музыкантов группы “На-На”?; нанайцы
Как, по мнению Оппенгеймера, можно защититься от атомной бомбы?; миром
Как, по мнению ученых, крокодил избавляется от избытка солей в организме?; плачет
Как-то известный певец в “Старых песнях о главном”, сказал, что любовью надо?; заниматься
Какао у украинцев; кава
Какая англоязычная аббревиатура имеет отношение и к Библии, и к разновидности неких окон? (ответ англ. буквами); nt
Какая была главная боевая сила парфян, если ее, по мнению Плутарха, было сложно применять ночью?; лучники
Какая валюта переводится как “откровенный”; франк
Какая валюта растет на деревьях; крона
Какая восьмая состоит из семи?; октава
Какая выдающаяся опера была написана за 13 дней, после чего ее автор, Джоакино Россини, получил мировую известность?; севильский цирюльник
Какая газета имела девиз “Из искры возгорится пламя”?; искра
Какая гора была самой высокой на Земле до того, как открыли Эверест?; Эверест
Какая деталь конского снаряжения не понадобится ковбою в родео; седло
Какая деталь туалета французских дам конца XVIII складывалась при посадке дамы в карету (веер в расчет не брать)?; парик
Какая должность сделала О. Генри беглым растратчиком; кассир
Какая достаточно экзотическая одежда объединяет Расула Гамзатова, Юрия Гагарина и Фиделя Кастро?; бурка
Какая из богинь Древнего Рима держала в руках золотое яблоко; Венера
Какая из шахматных фигур не может сделать ход на соседнюю клетку?; конь
Какая историческая земля когда-то называлась Ингерманландия; Ижора
Какая картина близка сердцу капитана дальнего плавания; марина
Какая команда по футболу стала чемпионом России в 1984 году?; зенит
Какая кукла в марте 1999 г. отметила свое сороколетие; Барби
Какая лесная птица по весне любит лакомиться кленовым и березовым соком?; дятел
Какая мать своих дочерей сосет? (загадка); море
Какая мера объема используется при совершении сделок на мировом рынке нефти?; баррель
Какая наука изучает влияние ионизирующих излучений на живой организм?; радиобиология
Какая наука принесла в 1908 г. Нобелевскую премию знаменитому физику Эрнсту Резерфорду; химия
Какая нация произошла, по греческой легенде, от героя Персея и Данаи?; персы
Какая нация является единственной христианско-католической в Азии?; филиппинцы
Какая начинка в болгарском национальном пироге “баница”; творог
Какая олимпийская дисциплина названа по древнему греческому селению?; марафон
Какая опера была написана специально ко дню открытия Суэцкого канала?; Аида
Какая планета находится в 40 раз дальше от Солнца, чем Земля; Плутон
Какая планета управляет знаком Весов; Венера
Какая простая фамилия была самой распространенной среди семинаристов, происходивших из семей священнослужителей?; Попов
Какая профессия была у людей, которым пришлось стать первыми в истории мастерами рукопашного боя без оружия?; священнослужители
Какая профессия объединяет Иисуса Навина, Вольтера, Даниэля Дефо, Бомарше, Джакомо Казанову и Д. И. Менделеева?; шпион
Какая птица без часов всегда знает точное время?; петух
Какая птица возглашает о позоре христианского мира?; петух
Какая река во рту течет?; Десна
Какая религия кроме христианства и ислама считает Иерусалим святым городом?; иудаизм
Какая рыба не плавает в испанских реках; окунь
Какая рыба, по мнению древних славян, самая круглая?; вобла
Какая самая твердая валюта была в советское время?; жидкая
Какая сборная команда по хоккею с шайбой чаще других становилась Чемпионом мира?; СССР
Какая столица подарила миру великого оратора Демосфена?; Афины
Какая столица стоит на берегу Потамака?; Вашингтон
Какая страна занимает пятое место в мире по объемам производства автомобилей, уступая США, Японии, Германии и Франции; Южная Корея
Какая страна называлась Чосон; Корея
Какая страна соседствует с Кальдонией и с Бальвонией?; Швамбрания
Какая ткань получила название по имени фламандского ткача из Камбре?; батист
Какая трапеза сердечно связывала Альфонса Доде, Эдмона Гонкура, Эмиля Золя и Ивана Тургенева?; обед
Какая тягость может перейти в радость; работа
Какая угроза появилась у египетских пирамид за последние 100 лет, чем всерьез обеспокоено египетское правительство?; туристы
Какая фирма создала первый микропроцессор?; intel
Какая фраза стала обозначением обманутых принцессой африканцев?; темные люди
Какая часть ледокола расшибает лед; нос
Какая часть розы понадобилась русскому ученому Илье Мечникову, чтоб доказать “фагоциз”; шип
Какая ягода названа за свой крепкий, но, несомненно, приятный запах, чего никак не подумаешь, услышав это название?; смородина
Какая ягода получила прозвище “северная красавица”?; черника
Какие 100 итальянец уместил в 10?; декамерон
Какие абрикосы кладут в пирог, чтобы после косточками не давиться и не выплевывать их принародно; курага
Какие автомобили получили свое название от названия списка требований к их техническим данным?; формула-1
Какие астрономические объекты автрийский астроном Литров предложил именовать зенареидами?; астероиды
Какие важные для нашего организма, но открытые только чуть более ста лет назад вещества несут в своем названии память о египетском боге Амоне?; витамины
Какие два животных живут в бутылке?; конь и як
Какие животные живут прайдами?; львы
Какие животные объединяют римского диктатора Суллу, иудейского царя Ирода, испанского короля Филиппа II и украинского гетмана Мазепу?; вши
Какие животные существуют на Земле уже 250 млн. лет безо всяких изменений?; тараканы
Какие камни находили древние греки у города Магнесия?; магниты
Какие острова носили название островов Сэндвича?; Гавайские
Какие подарочные цветы могут простоять в вазе дольше всего?; орхидеи
Какие предосторожности надо принимать, чтоб незаметно подобраться к киту? “не ...”; шуметь
Какие растения первоначально выращивали в оранжереях?; апельсины
Какие слова были произнесены на границе между Умбрией и Цизальпийской Галлией?; жребий брошен
Какие яйца варят в соленой воде? (ответ – прилагательное); надтреснутые
Каким березовым продуктом прежде русские крестьяне смазывали свои телеги, чтобы они не скрипели; деготь
Каким вином славится Нормандия; сидр
Каким газом, кроме фосгена, российский химик Николай Зеленский наполнил комнату, чтобы испытать противогаз собственной конструкции; хлор
Каким грандиозным сооружением московское Останкино обязано Николаю Никитину?; телебашня
Каким занятием с 10 лет закалял себя будущий великий завоеватель Тимур; охота
Каким занятием с десяти лет закалял себя будущий великий завоеватель Тимур; охота
Каким именем, переводимым с еврейского как “Бога слышащий”, родители нарекли в детстве будущего поэта Кирсанова и киноактера Фараду?; Семен
Каким качеством, необходимым для руководителя, согласно Конфуцию, обладает тот, кто способен проявить почтительность, обходительность, правдивость, сметливость и доброту?; человеколюбие
Каким локатором можно прощупывать океан; сонар
Каким материалом средневековые дантисты заделывали дырки?; воск
Каким небесным средством передвижения неумело управлял Фаэтон?; колесница
Каким общеизвестным ныне термином древние римляне называли формальный акт выхода ребенка из-под родительской власти?; эмансипация
Каким оружием древнегреческая Аталанта убивала не догнавших ее женихов; копье
Каким пожеланием в старину предохраняли моющегося от козней банника, домового, живущего в бане?; с легким паром
Каким предприятием владеет герой уморительного Луи де Фюнеса из фильма “Маленький купальщик”; верфь
Каким прибором определяют качество яиц, просвечивая их?; овоскоп
Каким родом войск командовал генерал от инфантерии?; пехотой
Каким словом мы заменяем английское выражение Light Amplification by Simulated Emission of Radiation?; лазер
Каким словом названы седые супруги Скотинины, гости Лариных; чета
Каким способом тяжелоатлет поднимает штангу над собой; толчок
Каким стилем американский пловец Джонни Вейсмюллер разменял минуту на стометровой дистанции; кроль
Каким теплоносителем, как правило, охлаждают кипящий реактор; вода
Каким термином называют внешний вид и сложение животных?; экстерьер
Каким товаром, приносящим хороший доход, торговал в своей лавке Даниель Дефо, прежде чем заняться литературой; чулки
Какими могут быть бомбы и танцы?; зажигательными
Каких коллекционеров отличает любовь к освобожденному от оплаты?; филателистов
Какова естественная причина резкого повышения спроса на автомобильные аккумуляторы на рубеже 1987–88 годов?; суровая зима
Каково было полное имя страстного игрока в карты англичанина Джона Монтегю графа такого-то, который придумал нечто, чтобы можно было продолжать игру и при этом есть, не запачкав рук?; сэндвич
Каково русское народное название литургии?; обедня
Какого бога можно назвать преемником Юпитера?; Христа
Какого глаза лишился Кутузов на войне?; правого
Какого зверька раньше называли “векша”; белка
Какого зверя отказался обучать русский дрессировщик Анатолий Дуров (ответ в им. п.); кошка
Какого русского поэта учил, как надо писать стихи, Владимир Маяковский?; Есенин
Какого скандинава американцы послали на “Марс”; викинг
Какого философа поносит в своих “Облаках” комедиограф Аристофан; Сократ
Какого цвета наиболее известные нам потомки греческого клеветника? (ответ во мн. ч.); красные
Какого цвета цветок папоротника?; никакого
Какого числа закончилась Вторая Мировая Война? (назовите число и месяц); 2 сентября
Какое “время суток” скрывается в лат. названии сирени; заря
Какое армянское озеро живописал русский художник Иван Айвазовский во время своего путешествия по Кавказу; Севан
Какое божественное вдохновение обязательно присутствовало, по мнению передовой советской прессы (например) у работников ударных строек?; энтузиазм
Какое вино прежде путешествовало в бочках по океану, чтобы набраться силы; мадера
Какое время года проводит с нами снегирь; зима
Какое государство “носят” на голове?; Панама
Какое государство в России XVI в. именовали Кызылбашским царством?; Персию
Какое государство целиком состоит из трех городов?; Монако
Какое греческое собрание лучше всего, как ни странно, известно евреям?; синагога
Какое действие скрывается за саботажем?; срыв
Какое дерево “на севере диком стоит одиноко на голой вершине”?; сосна
Какое дерево подарила Афина Афинам?; олива
Какое дерево, посаженное самим поэтом, растет на берегу Большого пруда в лермонтовском музее-заповеднике “Тарханы”; дуб
Какое евангелие в Новом Завете стоит вторым? (От ...); Марка
Какое европейское государство названо по имени столицы другого европейского государства?; Румыния
Какое единоборство принесло голливудской звезде Жан-Клоду Ван Дамму прозвище “мускулы из Брюсселя”; карате
Какое животное в древнем Египте считалось главным вредителем полей?; гиппопотамы
Какое животное на Земле самое ядовитое?; лягушка
Какое животное, кроме свиньи и быка, предписывалось приносить в жертву четырежды в год императорским указом в честь великого мудреца Конфуция после его смерти; овца
Какое животное, упоминаемое в Библии как огромный и сильный чудовищный зверь, могло своим другим именем напомнить грекам лошадь?; гиппопотам
Какое заведение по уголовнику плачет?; тюрьма
Какое изобретение, не являющееся оружием, тем не менее привело к появлению мощно вооруженной массовой конницы?; стремена
Какое имя дали принцу Сиддхартхе Гаутаме?; Будда
Какое имя носили не только 7 германских королей, но и 8 англ., а также 4 французских; Генрих
Какое имя носили не только семь германских королей, но и восемь английских, а также четыре французских?; Генрих
Какое имя принадлежит Дасаеву?; Ринат
Какое кавказское кушанье, по мнению Рубика Хачикяна из кинофильма “Мимино”, не умеют готовить в Телави?; долма
Какое латинское слово спряталось во фрикционной передаче?; трение
Какое личное имя носит один из трех компьютеров Ватикана?; Гавриил
Какое ложе получится, если меру площади дополнить опиумным цветком; гамак
Какое море греки называли Внутренним?; Средиземное
Какое море получило свое название от названия водорослей, огромное количество которых находится в нем?; Саргассово
Какое музыкальное направление может быть металлическим; рок
Какое наказание полагалось в немецких концлагерях за попытку самоубийства?; смертная казнь
Какое насекомое стало символом египетских фараонов?; пчела
Какое насекомое станет вам помогать, если вы обратитесь к апитерапевту; пчела
Какое общее слово между одним из видов верхней одежды и компьютером?; макинтош
Какое озеро лежит на границе четырех африканских государств: Чада, Нигера, Нигерии и Камеруна?; Чад
Какое орудие труда напоминает своими очертаниями молодой месяц; серп
Какое оружие роднит гладиатора с гладиолусом?; меч
Какое отсутствие не дает насладиться ароматом духов?; аносмия
Какое племя ввело в армии тотальную левостороннюю мастоэктомию?; амазонки
Какое пресмыкающееся считалось одним из символов Христа?; саламандра
Какое преступление совершил преступник, в чьих документах в Англии прошлого века писали, что он посягнул на спокойствие его Величества короля и на достоинство королевской власти? (ответ – прилагательное); уголовное
Какое распространенное в тропиках плодовое растение в индийской поэзии выражает идею непрочности, нестойкости, обманчивой внешности?; банан
Какое расстройство лишает мышление связанности; аменция
Какое растение индейцы называли “Следы белого человека”?; подорожник
Какое растение колдуньи подкладывают в свое зелье, чтобы утихомирить буйствующего; белена
Какое растение перерабатывают в текилу; кактус
Какое растение является символом испанского города Гранада?; гранат
Какое слово немецкого происхождения на сербохорватский переводится как жаlost, на польский как жалоба, на чешский как смутяк?; траур
Какое слово окончательно вывело из себя Калугину – героиню кинокомедии “Служебный роман”, сыгранную Алисой Фрейндлих; мымра
Какое слово получится из двух индейских – “дерево” и “плакать”?; каучук
Какое слово составляет пару слову “ИСТВУД”?; клинт
Какое событие обещал Хрущев советскому народу к 1980 году?; олимпиада
Какое содержащееся в рябине вещество выводит соли тяжелых металлов; пектин
Какое состояние А. Пушкин считал отдохновением для души; скука
Какое спортивное общество дало путевку в жизнь будущему олимпийскому чемпиону по биатлону Александру Тихонову; динамо
Какое средство передвижения имеет 8 колес, перевозит только одного человека и совершенно не загрязняет атмосферу?; роликовые коньки
Какое украшение есть почти в каждом крупном портовом городе Латинской Америки?; статуя Колумба
Какое учреждение по уголовнику плачет; тюрьма
Какое философское и химическое понятие получится, если соединить несколько тезисов?; синтез
Какое чувство древнеиндийские философы отождествляли с землей?; обоняние
Какое чувство мудpецы античного миpа пpизнавали последним и высшим даpом богов человеку? “чувство ...”; меры
Какое чувство переполняет оскалившегося волка; злоба
Какое-нибудь сообщение; весть
Какой греческий остров является самым большим?; Крит
Какой автомобиль может быть “каблуком”; пикап
Какой американский праздник ввели ранние колонисты Новой Англии в последний четверг ноября в ознаменование первого урожая, собранного в Новом Свете?; день благодарения
Какой американский штат подарил миру четырехкратного олимпийского чемпиона Джесси Оуэнса; Алабама
Какой библейский царь живет и почитается в исламе под именем Дауд; Давид
Какой богине со времен Августа древние римляне посвящали Вековые игры; Юнона
Какой богине у греков соответствует римская Аврора; Эос
Какой бодрящий напиток любят пить в России во врем застолья?; водка
Какой буржуйский прибор имеет один глаз?; монокль
Какой важный предмет российского экспорта до 1917 г. можно выделить из желтых пальцев курильщиков?; деготь
Какой вариант предлагает word, если включить поиск ошибок для слова мультиканальный?; мультик анальный
Какой вид кавалерийских войск на своих знаменах изображал дракона?; драгуны
Какой водкой русские купцы разбавляли ароматную мадеру, чтобы слона с ног валило; ром
Какой выйдет разговор, если нечистую силу со жратвой соединить; беседа
Какой газ слывет одним из важнейших средств для лечения ревматических болей?; радон
Какой географический обьект скрывается за лукоморьем?; залив
Какой герой послужил прототипом А. Толстому для создания образа Буратино?; Пиноккио
Какой главной опасности может избежать человечество, если перейдет на альтернативные источники энергии? (ответ в род. п.); парникового эффекта
Какой город Иоганн Гёте мечтал наводнить фиалками; Веймар
Какой город возник на участке, отхваченном тирской принцессой у африканцев?; Карфаген
Какой город летает?; Орел
Какой государственный орган в Англии называли Палатой Шахматной Доски?; казначейство
Какой греческий философ назвал букву атомом языка?; Демокрит
Какой грызун живет на деревьях и строит гнезда?; белка
Какой день недели жил вместе с робизноном крузо?; Пятница
Какой день недели стоит между Зевсом и Сатурном?; пятница
Какой европейский город, прославленный воротами, находившийся под турецким игом болгары называли Дранбадур?; Бранденбург
Какой звук сопровождает решающий бросок беркута на добычу; свист
Какой злак считают самым быстрорастущим растением на земле?; бамбук
Какой знак зодиака покровительствует Алену Делону?; Скорпион
Какой игре дала имя французская фраза, означающая примерно: “Вот вам”?; теннис
Какой из венецианских островов славится своими кружевами; бурано
Какой из газов, используемый в газосветных трубках, дал название этому типу освещения?; неон
Какой из российских еженедельников может смело гордиться первым советским кроссвордом; огонек
Какой из русских городов славился своими звонкими колокольчиками?; Валдай
Какой из сборников Андрея Белого доверху набит трагическими перипетиями неразделенной любви; урна
Какой известный певец в начале 80-х годов занимал первые места в хит-парадах как певцов, так и певиц?; Бой Джордж
Какой инструмент ликвидирует работу молотка; клещи
Какой инструмент стал символом “Земли и воли”; топор
Какой итальянец описал сородича того, кто изображен на медалях последнего Чемпионата украинской Лиги клубов интеллектуальных игр?; Родари
Какой итальянский город считается родиной пиццы?; Пиза
Какой камень грызут студенты?; гранит
Какой канал соединяет Средиземное море с Красным морем?; Суэцкий
Какой композитор “растет” на дереве?; лист
Какой континент голливудский шутник и звезда по совместительству Мэл Гибсон считает своей Родиной?; Австралия
Какой континент символизирует зеленое кольцо на олимпийской эмблеме?; Австралия
Какой крепкий напиток должна содержать подливка для настоящего “маседуана”; ликер
Какой материк затонул в незапамятные времена, если верить Платону?; Атлантида
Какой материк может гордиться самой большой высотой над уровнем моря?; Антарктида
Какой месяц, по мнению Вольтера, предшествует полынному?; медовый
Какой металл назван в честь греческого запаха?; осмий
Какой металл помог итальянцу Эванджелисту Торричелли открыть не только вакуум, но и атмосферное давление?; ртуть
Какой молочный напиток в Россию попал с Кавказа; кефир
Какой московский театр находится в здании бывшего купеческого клуба; ленком
Какой музыкальный инструмент в 18 в. называли клавикордами?; фортепиано
Какой музыкальный инструмент вызвал раздражение Афины потому, что игра на нем искажает лицо?; флейта
Какой найденный в 1565 г. в Англии черный камень сначала категорически запретили вывозить из страны, а потом под страхом смертной казни запретили добывать его более 6 недель в году?; графит
Какой напиток можно приготовить из арабики?; кофе
Какой напиток помогает оттянуться с апельсиновым вкусом; фанта
Какой напиток с ромом пила на сон грядущий сказочная Мери Поппинс?; пунш
Какой напиток с ромом пила на сон грядущий сказочная Мэри Поппинс; пунш
Какой наряд чаще всего носит кукла Барби?; свадебный
Какой недуг, подобный английскому сплину, овладел Евгением (Онегин); хандра
Какой нож не подается при сервировке стола?; разделочный
Какой номер автомобиля изумил туриста в городе Пиза?; pi 314 159
Какой овощ необходимо добавить в щи, чтобы они стали борщом?; свекла
Какой орган можно намозолить лишь понарошку?; глаз
Какой орех краб “пальмовый вор” обожает до самозабвения; кокос
Какой остров был частично оккупирован Турцией в 1974 году?; Кипр
Какой остров знатоки считают родиной грейпфрукта; Ямайка
Какой остров первоначально именовался Ниппон?; Хонсю
Какой отдел в американсих газетах в начале века было принято называть моргом?; архив
Какой официальный язык в Египте, Марокко, Тунисе?; арабский
Какой плод булгаковский Бегемот из романа “Мастер и маргарита” предпочитал солить и перчить перед съедением; ананас
Какой плод стал родоначальником современной физики и химии?; яблоко
Какой подарок родителям в день рождения в древнем Китае считался наилучшим? “хороший ...”; гроб
Какой полуостров присоединила к Российской империи Екатерина Великая; Крым
Какой порок отчасти нейтрализует прочие пороки?; лень
Какой поэт написал слова к бродвейскому мюзиклу “Cats” Эндрю Веббера; Элиот
Какой поэтический цикл Александр Блок сочинил в Шахматове; родина
Какой предмет Энея украшают картины из истории Рима, ставшие поэмой Вергилия; щит
Какой предмет в равной мере сопутствует творчеству Николая Гоголя и Олега Газманова?; шинель
Какой предмет искал Руслан на мертвом бранном поле; меч
Какой предмет одежды дамы служил вымпелом на турнирах средневековым рыцарям?; рукав
Какой предмет экипировки пилота, по мнению английского командования во время I мировой войны, не способствовал проявлению храбрости?; парашют
Какой продукт составляет основу сырников; творог
Какой продукт, необходимый в хозяйстве, получается из футбольного судьи; мыло
Какой проем стал косвенной причиной изобретения гандбола; окно
Какой псевдоним носила французская писательница, настоящее имя которой Орор Дюдеван?; Жорж Санд
Какой религиозный праздник, отмечающийся только в России, был установлен в память воинов, павших в Куликовской битве, благодарными потомками?; родительская суббота
Какой слой больше всего страдает от гиперинфляции?; народ
Какой сосуд напоминает Большая Медведица; ковш
Какой способ передвижения чуть быстрее езды, но медленнее мысли; полет
Какой стране объявила в 1904 г. войну Черногория, желая доказать свою симпатию России; Япония
Какой страной правил Петр Великий; Россия
Какой так называемый буржуйский прибор имеет один глаз?; монокль
Какой технический термин произошел от имени Аль Хорезми?; алгоритм
Какой товар на мировом рынке – второй по значимости после нефти; кофе
Какой товар продавался в древнеегипетских и римских лавках, по современным меркам более похожих на магазин обоев?; книги
Какой ученый не пил сырого молока и мыл каждую вишню кипяченой водой, но не боялся брать пипеткой слюну из пасти бешеной собаки и работал у коек больных холерой?; Луи Пастер
Какой фильм поставлен по салтыковской “Истории одного одного города”; оно
Какой фильм стал дебютным для звезды нашего кино Валерия Гаркалина; катала
Какой фрукт на Востоке издревле называли “райским”; банан
Какой футболист “Спартака” играет под девятым номером?; Титов
Какой химический элемент (атомный номер 27) обозначается символом Co?; кобальт
