Какое слово означает танец?; Степ
Исполнительница роли матери Олега Кошевого в к/ф С. Герасимова “Молодая гвардия”?; Макарова
Исполнительницей песен в кинофильме “Жестокий романс” была Валентина ... ?; Пономарева
Испорченная, негодная работа?; брак
Исследование физических процессов на моделях?; моделирование
Истина, которую принято считать очевидной, потому что ее никто не может доказать?; аксиома
Историческая область Франции, она же Гиень?; Аквитания
История в жизни женщины и эпизод в жизни мужчины. Жан Поль?; любовь
Источник распространения инфекции.; очаг
Истребление людей из-за их расы, национальности, веры. См. холокост?; геноцид
Исусный и опытный в каком-либо деле человек?; мастак
Исходная форма овса?; овсюг
Исходное положение какой-либо теории или науки, принимаемое без доказательств?; аксиома
Исходя из расхожего выражения, это ноги, оказавшиеся выше головы?; тормашки
Итал. архитектор 15–16 вв.?; Браманте
Итал. киноактриса?; Витти
Итальянские женщины пользовались этим ядовитым растением для расширения зрачков – это считалось красивым. Что это за растение?; белладонна
Итальянский актер?; Пачино
Итальянский драматург, автор комедий “Турандот”, “Любовь к трем апельсинам”?; Гоцци
Итальянский композитор, оперы: “Медея”, “Элиза”, “Водовоз”, “Анакреон”, “Лодоиска”?; Керубини
Итальянский композитор, скрипач, дирижер?; Вивальди
Итальянский модельер-дизайнер?; Версаче
Итальянский певец и композитор. Хотя, судя по фамилии, можно подумать, что он великомученик?; Страделла
Итальянский режиссер театра и кино, один из основоположников неореализма?; Висконти
Итальянский футбольный клуб?; ювентус
Иуда из Кириафа, согласно Булгакову, был по профессии ...?; меняла
К какой династии относился Ричард Львиное Сердце?; Плантагенет
К какому жанру относится фраза газетного киоскера советских времен: “«Правды» нет, «Россию» продали, есть «Труд» за 2 копейки”?; каламбур
К какому семейству относится лама?; верблюдов
К какому семейству относится синяя птица?; дроздовые
К кому в гости заезжал Чичиков? “к ...”; Манилову
К метанию чего сводится спортивная игра керлинг?; камня
К обеду она дорожает?; ложка
К столетнему юбилею его портрет с надписью “Верной дорогой идете, товарищи!” висел даже в пивнушках?; Ленин
К чему относится этот ряд слов: буран, старт, атлант, каскад, сигнал, авангард, граната?; огурцы
К чему призывали порадоваться мушкетеры на своем веку?; красавице и кубку
К этому литературному жанру в своем творчестве обращались такие писатели, как Б. Шоу, Р. Роллан, А. Моруа?; эссе
К/фильм Гайдая?; самогонщики
Кaк Миxaил Светлoв назвал пoру жизни, кoгда пoлoвина мочи yхoдит нa анализы?; старость
Кaкoй cтaтyс был y ВОИРa; общество
Кабард. танец?; кафа
Кабельтов – это приблизительно ... метров?; 185
Каждая из двух сторон прямоугольного треугольника, образующих прямой угол?; катет
Каждой трубе затычка, чтобы не громыхала?; сурдина
Каждому человеку свойственно ошибаться, но только ... свойственно упорствовать в ошибке. Кому? (ответ в дат. п.); глупцу
Каждую минуту в поверхность Земли ударяет около ... молний?; 6000
Каждый народ имеет то правительство, которого он заслуживает – впервые это было сказано касательно ... ?; России
Каждый работающий, имеющий доходы?; налогоплательщик
Каждый римский гражданин Восточной Римской Империи?; византиец
Каждый уважающий себя турист, попав в японский город Киото, приходит в ... камней?; сад
Казаки – глаза и уши армии, – так сказал ... ?; Суворов
Казахское национальное блюдо, название которого означает “Пять пальцев” – это ... ?; бешбармак
Казачий атаман. Походом в 1582–85 положил начало освоению Сибири Русским государством?; Ермак
Казачий галоп?; намет
Как автолюбитель называет знак, запрещающий проезд?; кирпич
Как Александр Филиппович Македонский решил вопрос с “гордиевым узлом”?; разрубил
Как будет по-древнегречески “сбор цветов”?; антология
Как в 90-е годы дачники стали называть свои участки?; фазенда
Как в Великобритании называют светлые густые сорта пива?; эль
Как в Др. Греции называли землевладельцев?; геморы
Как в Древней Руси назывались холопы, которые попали в рабство за долги?; кабальные
Как в Латвии называют Западную Двину?; Даугава
Как в народе называют безбилетника в транспорте?; заяц
Как в народе называют миллион рублей?; лимон
Как в народе называются финансовые иституты, обещающие вкладчикам золотые горы?; пирамиды
Как в начале XX века называли воспитанников военного училища?; юнкер
Как в опере называют ведущую певицу?; примадонна
Как в простонародье называется процессор?; камень
Как в просторечии называют четвертинку?; чекушка
Как в России называют оперу Рихарда Вагнера “Моряк-скиталец”?; летучий голландец
Как в средней школе традиционно называют задние парты класса?; камчатка
Как в старину назывался человек, объявлявший народу официальные известия?; глашатай
Как в Японии называют профессиональную танцовщицу, певицу, развлекающая посетителей чайных домиков или гостей на приемах и прислуживающая им?; гейша
Как во стольной Москве белокаменной // Вор по улице бежит с булкой маковой. – Эти строки написал ... ?; Евтушенко
Как во Франкском государстве и среднивековой Германии назывался пограничный укрепленный административный округ?; марка
Как воины Дмитрия Донского называли то, что мы зовем сегодня арбалетом?; самострел
Как греки называли документ, сложенный вдвое?; диплом
Как звали бога солнца в Древнем Египте?; Ра
Как звали возлюбленную Петрарки?; Лаура
Как звали героиню фильма “Унесенные ветром”?; Скарлетт
Как звали Графа Калиостро?; Джузеппе
Как звали жену Пушкина?; Наталья
Как звали жену Рамы – героя древнеиндийского эпоса?; Сита
Как звали злую сестру доктора Айболита в сказке Корнея Чуковского?; Варвара
Как звали итальянского ученого Маркони?; Джузеппе
Как звали коня Александра Македонского?; Буцефал
Как звали лошадь Вронского?; Фру-Фру
Как звали мать Александра Македонского?; Олимпиада
Как звали мифического бога насмешки и злословия?; Мом
Как звали одного из друзей Винни-Пуха?; Пятачок
Как звали олениху – подругу Бемби?; Фалина
Как звали отца Александра Македонского?; Филипп
Как звали отца Одиссея?; Лаэрт
Как звали первого русского царя из дома Романовых?; Михаил
Как звали пуделя Мальвины?; Артемон
Как звали садового вора Квакина из повести Гайдара “Тимур и его команда”?; Мишка
Как звали собачку в сказке про репку?; Жучка
Как звали сына миледи в романе А. Дюма “Двадцать лет спустя”?; Мордаунт
Как звали таракана, прославленного Михаилом Булгаковым?; Янычар
Назовите имя человека, который снял фильм “Последнее искушение Христа”?; Мартин
Как звучит первая часть полной фамилии Кутузова?; Голенищев
Как звучит перевод с греческого выражения “умение обращаться с буквами”?; грамматика
Как зовут героя Марка Твена, едва не ставшего из нищего принцем?; Том
Как зовут птицу в сказке из “Тысяча и одной ночи”?; Рухх
Как зовут человека, который получил Оскара за сценарий к “Рокки 1”?; Сильвестр
Как известно, реклама – двигатель прогресса. Чем лучше товар рекламируется, тем лучше он продается. А что в США продается лучше всего?; бестселлер
Как именовали на Руси дракона?; змей Горыныч
Как имя актера, игравшего главную роль в сериале “Первая волна”?; Себастьян
Как иначе называется канун Рождества Христова?; сочельник
Как иначе называлась Древняя Троя?; Илион
Как исламисты именуют паломничество в Мекку, которое каждый должен совершить хоть раз в жизни?; хадж
Как Калигула заставлял неудачливых поэтов очищать зря, по мнению императора, замаранный их стихами пергамент?; слизывать языком
Как киношники назвали тех, кого Жоржи Амаду назвал “Капитанами песков”?; генералы песчаных карьеров
Как Леонид Утесов называл Черное море?; одесское
Как Лопе де Вега назвал Диану де Бельфлор?; собака на сене
Как на востоке называется сервированный стол с угощением?; дастархан
Как на Руси издавна называли пару волов или лошадей, запряженных в одну упряжку?; супруги
Как на Руси называлась кожаная сумка для денег, которую носили на поясе?; калита
Как на Руси назывались лапти из пеньковой веревки?; чуни
Как называется 1/100 нигерийской найры?; кобо
Как называется административный центр штата Аляска?; Джуно
Как называется амплуа актрисы, исполняющей роли подростков?; травести
Как называется бой быков у народов Южной Европы и Латинской Америки?; коррида
Как называется большой круг небесной сферы, по которому солнце совершает свой видимый путь в течении года?; эклиптика
Как называется брачный выкуп у народов Кавказа, Средней Азии и Сибири?; калым
Как называется в преферансе пара – король с дамой одной масти?; марьяж
Как называется всемирная компьютерная сеть?; интернет
Как называется главный труд Карла Маркса?; капитал
Как называется горная порода, используемая и как облицовочный камень, и как удобрение?; змеевик
Как называется дважды обожженный фарфор, не покрытый глазурью?; бисквит
Как называется двухместный велосипед?; тандем
Как называется детская болезнь, похожая на корь?; краснуха
Как называется единица силы света в системе СИ?; кандела
Как называется живопись по сырой штукатурке красками, разведенными на воде?; фреска
Как называется животное ростом до 3,5 м, весом до 6 т, голова с хоботом, огромными загнутыми вверх бивнями, ноги как столбы, хвост короткий, похож на слона, только сильно заросшего?; мамонт
Как называется жилище из снега у канадских эскимосов?; иглу
Как называется знаменитая тетралогия немецкого композитора Рихарда Вагнера?; кольцо нибелунгов
Как называется идеалистическое учение?; витализм
Как называется инструментальная пьеса, мелодия которой развертывается в непрерывном быстром движении звуками малой длительности?; перпетуум мобиле
Как называется кабаре-дуэт Саши и Лолиты?; академия
Как называется китайская валюта?; юань
Как называется кодекс поведения самураев?; бусидо
Как называется конечный пункт Тихоокеанской железной дороги (в Колумбии)?; Армения
Как называется марка английского автомобиля высшего класса?; ягуар
Как называется массовое гуляние, сопровождаемое шествиями, ряжением, театрализованными играми?; карнавал
Как называется монгольский и бурятский 2-струнный смычковый музыкальный инструмент?; хур
Как называется мужская рабочая обувь, высокие кожаные сапоги?; бахилы
Как называется мужская юбка?; кильт
Как называется музыкант, играющий на зурне?; зурнач
Как называется напиток из кислого молока у народов Передней Азии?; йогурт
Как называется наш современный календарь?; григорианский
Как называется нехороший человек в кинофильме “Джентельмены удачи”?; редиска
Как называется обрядовый круглый пшеничный хлеб у восточных славян?; каравай
Как называется одна из древнейших профессий, сведения о которой относятся к 4 тыс. до н. э.?; ветеринар
Как называется оптическое устройство наблюдения из подводных лодок за поверхностью моря?; перископ
Как называется первая в России датированная печатная книга?; апостол
Как называется пленка, образующаяся на бронзе при окислении?; патина
Как называется праздник в честь святого Георгия?; юрьев день
Как называется прибор для измерения температуры и влажности воздуха?; психрометр
Как называется приз, ежегодно вручаемый лучшему футболисту Европы?; золотой мяч
Как называется провинция в Дании?; амт
Как называется пролив, соединяющий бухту Сан-Франциско с Тихим океаном?; Золотые Ворота
Как называется процесс превращения сырого каучука в резину?; вулканизация
Как называется роман Стивена Кинга о “живом” автомобиле?; Кристина
Как называется русскоязычная газета бакинских нефтяников?; вышка
Как называется самая известная мелодия из оперы “Похищение из сераля”?; турецкий марш
Как называется самый крупный вид пингвинов?; императорский
Как называется свадьба – тридцатилетие женитьбы?; жемчужная
Как называется смолоподобное вещество, вытекающее из расщелин скал?; мумие
Как называется старинное оружие – фигурный топорик на длинном древке?; алебарда
Как называется столик, на который во время богослужения кладутся церковные книги?; аналой
Как называется столица Камбоджи?; Пномпень
Как называется танец, включающий 5-6 фигур, поочерёдно исполняемых 4 парами танцующих, распространённый у многих народов Европы?; кадриль
Как называется фильм о виртуальной реальности, где все ползают по стенкам и уворачиваются от пуль?; матрица
Как называется фильм о приключениях монстра, который видит все в инфракрасном зрении?; хищник
Как называется холодное оружие, представляющее собой острый кол?; рожон
Как называется чемпионатский бильярд, существующий с 1890 года?; пул
Как называется эпическое сказание у русских. В 19 веке исполнялись в основном в северо-русских областях?; былина
Как называлась вторая серия “Бриллиантовой руки”?; костяная нога
Как называлась денежная единица Франции, вместо которой в 1799 году был введен франк?; ливр
Как называлась первая русская рукописная газета?; куранты
Как называлась столица Крымского ханства?; Бахчисарай
Как называлась шхуна полярного исследователя Владимира Русанова?; Геркулес
Как называли правителя Аквитании Эдуарда Уэльского?; черный принц
Как назывались точные карманные часы французского мастера?; брегет
Как назывались эти специальные белоснежные тоги, которые носили римские кандидаты на общественные должности? (ед. ч.); кандида
Как назывался во Франции XVII – XVIII вв. торжественный придворный праздник?; гала
Как назывался военный вождь, а затем и король у скандинавских народов в средние века?; конунг
Как назывался дворянский титул, средний между графом и герцогом?; маркиз
Как назывался корабль второй кругосветной экспедиции адмирала Головнина?; Камчатка
Как назывался корабль Хана Соло?; тысячелетний сокол
Как назывался корабль, давший, согласно советской истории, сигнал к штурму Зимнего?; аврора
Как назывался натуральный налог с покоренных народов Поволжья и Сибири в XV–XVII вв.?; ясак
Как назывался орган верховной власти в Древнем Риме?; сенат
Как назывался пароход, на котором отправились в круиз Семен Семеныч Горбунков и Гоша в фильме “Бриллиантовая рука”?; Михаил Светлов
Как назывался первый мощный броненосец российского ВМФ?; Петр Великий
Как назывался первый русский музей?; кунсткамера
Как назывался появившийся в 1916 г. первый английский танк?; Большой Вилли
Как назывался процесс изготовления баклуш на Руси?; оболванивание
Как назывался щит Зевса?; эгида
Как называют кухню моряки?; камбуз
Как называют людей, купающихся зимой в проруби?; моржи
Как называют редкую вещь?; раритет
Как называют слова и выражения типа “топот”, “комок”, “а роза упала на лапу Азора”?; палиндром
Как называют Фолклендские острова Аргентины?; Мальвинские
Как называются деньги в Гондурасе?; лемпира
Как называются деньги в Коста-Рике?; колон
Как называются жилище эскимоса?; иглу
Как называются лодки в Венеции?; гондола
Как называются напевы альпийских горцев (в Австрии, Южной Баварии и Швейцарии)?; йодль
Как называются сани, на которых крестьянин обновлял путь?; дровни
Как называются тончайшие пленки золота, которые наклеивают на изделия в декоративных целях?; сусальное золото
Как Николай Васильевич Гоголь обозвал Макдональда Карловича?; байбак
Как ныне называется город Александрия, основанный в Египте А. Македонским в 332 г. до н. э?; так же
Как одним словом называется изготовление чучел животных?; таксидермия
Как откровенно говаривали члены Ученых Советов, защита диссертации проводится ради последующего ... ?; банкета
Как переводится с итальянского название футбольного клуба “Ювентус”?; юность
Как переводится слово “катастрофа” с греческого на латынь?; революция
Как положено слушать исполняемый акафист?; стоя
Как по-научному называется детектор лжи?; полиграф
Как по-португальски звучит слово “змея”?; кобра
Как попрощалась кошка в конце фильма “Иван Васильевич меняет профессию”?; чао
Как правильно именуется комнатное растение, в быту называемое “Китайская роза”?; гибискус
Как При Петре I называли знаменосца?; прапорщик
Как раньше назывался восклицательный знак? (ответ – прилагательное); удивительный
Как расшифровывается буква “М” в аббревиатуре “МНС”?; младший
Как расшифровывается аббревиатура “ЛИВИЗ”?; ликероводочный завод
Как Робинзон Крузо назвал своего слугу туземца?; Пятница
Как с греческого переводится слово “комета”?; волосатая
Как сейчас называется город, в котором родился и прожил всю жизнь немецкий философ Иммануил Кант?; Калининград
Как сейчас называются горы, чьим старинным названием было “Каменный пояс”?; Урал
Как следовало называть римского прокуратора по объяснению Марка Крысобоя? (“Мастер и Маргарита” М. Булгакова)?; игемон
Как только это подадут на стол, мусульмане должны начинать трапезу?; хлеб
Как утверждает статистика, если у француза нет одного глаза, то, скорее всего, – это результат любви к ... ?; шампанскому
Как фамилия “инфантильного душевнобольного обольстителя” из сериала “Тропиканка”?; Веласкес
Как фамилия подпольного миллионера из романа И. Ильфа и У. Петрова “Золотой теленок”?; Корейко
Как французы называют переходное время года?; демисезон
Как мы называем зелень растения с запахом “клопов”?; кинза
Как назвали танк африканцы, впервые увидев его (на их наречии – “фару”)?; носорог
Как называется в геометрии линия, делящая угол пополам?; биссектриса
Как называется нехороший человек на жаргоне “джентльменов удачи”?; редиска
Как называется по флотской терминологии весло для управления плотом?; правило
Как называлась скамья, на которой в старину наказывали кнутом нерадивых школьников?; кобыла
Как назывался корабль, на котором Головнин осуществил первую кругосветную экспедицию?; Диана
Как Новосельцев обозвал в столовой активистку Шуру (фильм “Служебный роман”)?; чувырло
Какая борьба была любимым спортом покойного императора Хирокото?; сумо
Какая была в замужестве фамилия сестры Натальи Гончаровой – Екатерины?; дантес
Какая ворона получилась у режиссера Александра Татарского?; пластилиновая
Какая газета имела девиз “Из искры возгорится пламя!”?; искра
Какая геометрическая фигура лежит в основе всех снежных кристаллов?; шестиугольник
Какая группа утверждала, что рок-н-ролл мертв, а они еще нет?; аквариум
Какая дисциплина предсказывает будущее по звездам?; астрология
Какая домашняя птица живет около 20 лет, а иногда и до 80?; гусь
Какая европейская столица названа в честь хитроумного гомеровского героя Улисса?; Лиссабон
Какая земля, ближайшая к Северному магнитному полюсу, потому что притягивает южный?; антарктида
Какая золотая монета ходила на Руси во времена Отечественной Войны 1812 года?; империал
Какая из богинь была матерью бога Гора?; Исида
Какая из русских машин признана машиной 20-го века?; ВАЗ
Какая крыса похожа скелетом на кролика, а хвостом – на белку?; шиншилла
Какая марка автомобилей производится в Тольятти?; лада
Какая марка автомобиля наиболее широко представлена в 24-х часовых гонках в США?; порше
Какая модель пулемета была распространена в Гражданскую войну?; максим
Какая наука изучает рельефы суши, дна океанов и морей?; геоморфология
Какая неотъемлемая часть любой современной оперы впервые появилась в опере “Орфей” в 1607 году?; увертюра
Какая звезда в диаметре 864 000 миль?; Солнце
Какая планета Солнечной системы имеет 62 спутника?; Сатурн
Какая планета Солнечной системы имеет наибольшее количество спутников – 63?; Юпитер
Какая порода кур получила свое имя от итальянского города Ливорно?; леггорн
Какая приправа в Англии XII века ценилась дороже золота?; перец
Какая приставка применяется для числа 10 в степени 15?; пета
Какая приставка применяется для числа 10 в степени -15?; фемто
Какая приставка применяется для числа 10 в степени -18?; атто
Какая приставка применяется для числа 10 в степени -2?; санти
Какая приставка применяется для числа 10 в степени 6?; мега
Какая приставка применяется для числа 10 в степени -6?; микро
Какая приставка применяется для числа 10 в степени -9?; нано
Какая птица может проводить в полете несколько суток кряду и спать, не прерывая его?; альбатрос
Какая птица “приносит” детей?; аист
Какая птица является символом Новой Зеландии?; киви
Какая пустыня была испытательным полигоном для первой французской атомной бомбы в 1960 году?; Сахара
Какая пустыня является самым большим светлым пятном видимым из космоса?; Сахара
Какая река проходит через город Манаус?; Амазонка
Какая река, протекающая в царстве мертвых, дарит всем пьющим из нее забвение земной жизни?; Лета
Какая самая высокая гора в мире, не являющаяся частью хребта?; Килиманджаро
Какая самая “горная” страна в Европе?; Швейцария
Какая самая маленькая планета Солнечной системы?; Плутон
Какая самая часто ломающаяся кость в теле?; ключица
Какая столица подогревается подземными источниками?; Рейкьявик
Какая страна – родина саксофона?; Бельгия
Какая страна в средние века называлась Чосон?; Корея
Какая страна дала название рыбе серебрянке?; Аргентина
Какая страна до 1868 года чеканила золотые дублоны?; Испания
Какая страна названа в честь проходящего тропика?; Эквадор
Какая страна первой испытала водородную бомбу?; СССР
Какая страна раньше называлась Восточный Пакистан?; Бангладеш
Какая страна трехкратный чемпион мира по футболу?; Италия
Какая терапия была применена для оздоровления российской экономики?; шоковая
Какая фамилия принадлежит двум “новым” американским президентам – отцу и сыну?; Буш
Какая фамилия принадлежит двум “старым” американским президентам – отцу и сыну?; Адамс
Какая фамилия является самой распространенной в мире?; Чанг
Какая французская актриса была женой В. Высоцкого (фамилия)?; Влади
Какая цивилизация Бронзового Века зародилась на острове Крит 2500 лет до Нашей Эры?; миноан
Какая цифра появляется после того, как воспользуются пробирной иглой и пробирным камнем?; проба
Какая часть Миссисипи увеличивается на 96 м в год?; дельта
Какая часть одежды у высококлассных каратистов черного цвета?; пояс
Какая часть тела у Ахиллеса была самой уязвимой?; пята
Какая ягода названа за свой крепкий, но, несомненно, приятный запах, чего никак не подумаешь, услышав в названии корень “смрад”?; смородина
Какие великий правитель и великий поэт встретились в Эрфурте в 1810 г.?; Наполеон и Гёте
Какие кочевники поселились на территории Египта в ХVII в. до н. э.?; евреи
Какие миски, ложки и кружки использовались в Советской Армии?; алюминиевые
Какие папиросы курил Сталин?; герцеговина флор
Каким “нефутбольным” словом называлась любимая футбольная команда старика Хоттабыча?; шайба
Каким же ослом надо быть, чтобы поступить, как буриданов осел! Не сумев выбрать между двумя охапками сена, он ... ?; умер от голода
Каким из природных явлений А. Островский назвал свою пьесу?; гроза
Каким именем “гремела”, обращаясь к Воробьянинову, его теща Клавдия Ивановна (Ильф и Петров)?; Эпполет
Каким кодом включить “режим Бога” в компьютерной игре “DOOM2”?; iddqd
Каким коридором в аэропорту проходят пассажиры, не подлежащие таможенному досмотру?; зеленым
Каким методом получается из каучука резина?; вулканизацией
Каким научным методом пользовался Шерлок Холмс, если не прислушиваться к подхалиму Ватсону?; дедукция
Каким термином называют эпидемию мирового масштаба, при которой от заболевания страдает до тридцати процентов населения земного шара?; пандемия
Каких соседей на Руси называли обрами?; аваров
Какоe извеcтноe пpоизвeдение пoслyжило пeрвым гоcyдарcтвенным гимном СССР?; интернационал
Каков мужик ни есть, а просит пить и ... (фольк.)?; есть
Какова скорость потока E1 (kbit/s)?; 2048
Каково примерное расстояние между Землей и Солнцем в миллионах км?; 150
Какого мужчину женщине легче всего сделать миллионером?; миллиардера
Какого странника создал Николай Лесков?; очарованного
Какого цвета бегущие символы на мониторах в фильме “Матрица”? (р.п., ед.ч.); зеленого
Какого цвета была трехрублевая купюра образца 1961 года?; зеленая
Какого цвета цветы барбариса? (мн. ч., им. п.); желтые
Какого числа отмечают День солидарности трудящихся?; 1 мая
Какое австралийское животное удивленные ученые обозвали “paradoxus”?; утконос
Какое безобидное существо носит странное название “Мертвая голова”?; бабочка бражник
Какое географическое понятие во всем мире называется исландским словом?; гейзер
Какое государство называют “страной драконов грома”?; бутан
Какое дерево имеет цветки с самым сладким нектаром (75–80% сахара)?; яблоня
Какое дерево является символом России?; береза
Какое евангелие в Новом Завете стоит первым? (От ...); Матфея
Какое животное первым попало на орбиту Земли?; собака
Какое животное существует еще с кайнозойской эры и обитает в бассейне Волги и Урала?; выхухоль
Какое значение наиболее близко к древнегреческому слову “гетера”?; проститутка
Какое имя на самом деле принадлежит Дасаеву?; Ринат
Какое имя переводится с еврейского словом “лилия”?; Сусанна
Какое имя разделяли между собой американские индейцы и парижские хулиганы 19 века?; апачи
Какое количество волос максимально может содержать мужская борода?; 15000
Какое количество рядов должно быть при кладке свода арки?; нечетное
От названия какого лакомства произошло название болезни ботулизм?; колбаса
Какое легкое человека вдыхает больше кислорода?; правое
Какое море лежит к югу от Кубы?; карибское
Какое море разделяет Австралию и Новую Зеландию?; Тасманово
